Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c,d","21 - a,b,c","41 - a,b,c,d","61 - a,b,c,d","81 - a,b,c,d"
"2 - a,b,c,d","22 - a,b,c,d","42 - a,c,d","62 - a,b,c,d","82 - a,b,c,d"
"3 - a,d","23 - a,b,c,d",43 - c,"63 - a,b,c,d","83 - a,b,d"
"4 - b,c,d","24 - b,c,d","44 - c,d","64 - a,b,c,d","84 - a,b"
5 - d,"25 - b,d","45 - a,b","65 - a,b,c,d","85 - c,d"
"6 - c,d","26 - b,c,d","46 - a,b,c","66 - a,b,c","86 - b,c"
"7 - a,b,d","27 - b,c,d","47 - a,c","67 - a,b,d",87 - a
8 -,"28 - a,d",48 - a,68 - d,88 - b
9 - a,"29 - b,d","49 - a,d","69 - a,d",89 - a
10 - b,"30 - a,b",50 - c,"70 - a,b,c,d","90 - a,c"
"11 - a,d","31 - c,d",51 - c,"71 - a,c,d",91 - b
12 -,"32 - b,c",52 - c,"72 - a,b,d","92 - a,b"
"13 - a,b,c",33 - b,"53 - a,c",73 - d,93 - c
14 - b,"34 - a,d","54 - a,c,d","74 - a,c",94 - b
15 -,35 - b,"55 - a,b","75 - a,b,c,d",95 - c
16 -,36 - c,56 - b,"76 - b,c,d","96 - a,b,d"
17 -,37 - c,"57 - a,c","77 - a,b,d",97 - b
18 -,38 - a,"58 - a,b",78 - b,98 - c
19 -,"39 - a,c","59 - a,c,d",79 - b,99 - a
20 -,"40 - a,b,c,d","60 - a,b","80 - b,d",100 -
