Python,EDA,SQL,POWER BI,Statistics
1 -,21 - c,41 - c,61 - d,"81 - b,c,d"
2 -,22 - d,42 - b,"62 - a,c",82 - b
"3 - b,c",23 -,43 - a,63 - d,83 -
4 - c,24 - b,44 - d,64 -,84 -
5 - a,25 - b,"45 - a,d","65 - c,d",85 -
"6 - b,d","26 - a,b,d",46 -,66 - c,86 -
"7 - b,d",27 - a,47 -,67 - a,87 -
8 -,"28 - b,d","48 - c,d",68 - b,88 -
9 -,29 -,"49 - c,d",69 - d,89 -
10 -,30 -,50 -,"70 - a,c",90 -
11 -,31 -,"51 - a,b",71 -,91 -
12 -,32 - c,52 -,72 -,92 -
"13 - c,d",33 - a,53 - a,73 - c,93 -
14 - d,34 - c,54 - d,74 -,94 -
15 - a,35 - d,"55 - a,b",75 - d,95 -
16 - b,"36 - a,d",56 - c,76 -,96 -
17 -,37 -,57 - d,77 - a,97 -
18 -,38 -,58 -,78 - b,98 -
19 -,39 -,59 -,"79 - c,d",99 -
20 -,40 -,60 -,80 -,100 -
